month	page_title	views_2020	views_2019	views_difference
10	Roman Prymula	115742	303	115439
10	Covid-19	81618	0	81618
10	Jan Blatný	72971	0	72971
10	Alois Rašín	57214	3913	53301
10	Tvoje tvář má známý hlas (7. řada)	53200	156	53044
10	Španělská chřipka	51296	2224	49072
10	Pandemie covidu-19 v Česku	45898	0	45898
10	Náhorní Karabach	45211	1359	43852
10	Jaroslav Flegr	44367	671	43696
10	Martin Havelka	44094	919	43175
10	App Store	41798	1322	40476
10	Vitamín D	45580	7977	37603
10	Volby do zastupitelstev krajů v Česku 2020	37159	0	37159
10	Viktorie (britská královna)	41791	9679	32112
10	Volba prezidenta České republiky 2023	33547	3187	30360
10	Uzamčení	30073	0	30073
10	Diego Maradona	32189	2655	29534
10	Sean Connery	31716	3698	28018
10	Bára Basiková	29630	1777	27853
10	Senát Parlamentu České republiky	31438	4345	27093
